FY14,JOIN14,COUNTY14,CODISTSCH14,SCHOOLNAME14,SCHOOLTYPE14,GRADE14,ENROLLED14,FREEREDUCED14,PERCENT14,WARNING14,CEP14
2014-2015,DOUGLAS-CENTRAL HIGH SCHOOL,DOUGLAS,280001007,CENTRAL HIGH SCHOOL,HIGH SCHOOL                   ,2016-09-12,2544,1434,0.5637,,
2014-2015,DOUGLAS-OMAHA NORTH MAGNET HIGH SCHOOL,DOUGLAS,280001009,OMAHA NORTH MAGNET HIGH SCHOOL,HIGH SCHOOL                   ,2016-09-12,1753,1131,0.6452,,
2014-2015,DOUGLAS-OMAHA NORTHWEST MAGNET HIGH SCHOOL,DOUGLAS,280001011,OMAHA NORTHWEST MAGNET HIGH SCHOOL,HIGH SCHOOL                   ,2016-09-12,1634,1208,0.7393,,
2014-2015,DOUGLAS-OMAHA SOUTH MAGNET HIGH SCHOOL,DOUGLAS,280001013,OMAHA SOUTH MAGNET HIGH SCHOOL,HIGH SCHOOL                   ,2016-09-12,2560,2199,0.859,,
2014-2015,DOUGLAS-BEVERIDGE MAGNET MIDDLE SCHOOL,DOUGLAS,280001019,BEVERIDGE MAGNET MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2016-07-08,714,486,0.6807,,
2014-2015,DOUGLAS-BRYAN MIDDLE SCHOOL,DOUGLAS,280001021,BRYAN MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2016-07-08,783,673,0.8595,,
2014-2015,DOUGLAS-ALICE BUFFETT MAGNET MS,DOUGLAS,280001022,ALICE BUFFETT MAGNET MS,MIDDLE SCHOOL                 ,2016-07-08,610,195,0.3197,,
2014-2015,DOUGLAS-NATHAN HALE MAGNET MIDDLE SCHOOL,DOUGLAS,280001023,NATHAN HALE MAGNET MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2016-07-08,342,290,0.848,,
2014-2015,DOUGLAS-ALICE BUFFETT MAGNET ELEM SCH,DOUGLAS,280001024,ALICE BUFFETT MAGNET ELEM SCH,ELEMENTARY                    ,2016-05-06,595,207,0.3479,,
2014-2015,DOUGLAS-LEWIS & CLARK MIDDLE SCHOOL,DOUGLAS,280001029,LEWIS & CLARK MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2016-07-08,718,534,0.7437,,
2014-2015,DOUGLAS-R M MARRS MAGNET MIDDLE SCHOOL,DOUGLAS,280001033,R M MARRS MAGNET MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2016-07-08,699,609,0.8712,,
2014-2015,DOUGLAS-MC MILLAN MAGNET MIDDLE SCHOOL,DOUGLAS,280001035,MC MILLAN MAGNET MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2016-07-08,441,366,0.8299,,
2014-2015,DOUGLAS-MONROE MIDDLE SCHOOL,DOUGLAS,280001037,MONROE MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2016-07-08,600,540,0.9,,
2014-2015,DOUGLAS-MORTON MAGNET MIDDLE SCHOOL,DOUGLAS,280001039,MORTON MAGNET MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2016-07-08,546,364,0.6667,,
2014-2015,DOUGLAS-NORRIS MIDDLE SCHOOL,DOUGLAS,280001041,NORRIS MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2016-06-08,1088,988,0.9081,,
2014-2015,DOUGLAS-WILSON FOCUS SCHOOL,DOUGLAS,280001046,WILSON FOCUS SCHOOL,ELEMENTARY                    ,2016-03-06,209,103,0.4928,,
2014-2015,DOUGLAS-ADAMS ELEM SCHOOL,DOUGLAS,280001055,ADAMS ELEM SCHOOL,ELEMENTARY                    ,PK-06,324,230,0.7099,,
2014-2015,DOUGLAS-BEALS ELEM SCHOOL,DOUGLAS,280001059,BEALS ELEM SCHOOL,ELEMENTARY                    ,PK-06,444,340,0.7658,,
2014-2015,DOUGLAS-BELLE RYAN ELEM SCHOOL,DOUGLAS,280001061,BELLE RYAN ELEM SCHOOL,ELEMENTARY                    ,PK-06,324,250,0.7716,,
2014-2015,DOUGLAS-BELVEDERE ELEMENTARY SCHOOL,DOUGLAS,280001063,BELVEDERE ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,536,496,0.9254,,
2014-2015,DOUGLAS-BENSON WEST ELEM SCHOOL,DOUGLAS,280001065,BENSON WEST ELEM SCHOOL,ELEMENTARY                    ,PK-06,626,532,0.8498,,
2014-2015,DOUGLAS-BOYD ELEM SCHOOL,DOUGLAS,280001067,BOYD ELEM SCHOOL,ELEMENTARY                    ,PK-06,533,339,0.636,,
2014-2015,DOUGLAS-CASTELAR ELEMENTARY SCHOOL,DOUGLAS,280001069,CASTELAR ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-05,620,558,0.9,,
2014-2015,DOUGLAS-CATLIN MAGNET CENTER,DOUGLAS,280001071,CATLIN MAGNET CENTER,ELEMENTARY                    ,PK-06,249,145,0.5823,,
2014-2015,DOUGLAS-CENTRAL PARK ELEM SCHOOL,DOUGLAS,280001073,CENTRAL PARK ELEM SCHOOL,ELEMENTARY                    ,PK-06,450,416,0.9244,,
2014-2015,DOUGLAS-CHANDLER VIEW ELEM SCHOOL,DOUGLAS,280001075,CHANDLER VIEW ELEM SCHOOL,ELEMENTARY                    ,PK-06,735,587,0.7986,,
2014-2015,DOUGLAS-COLUMBIAN ELEM SCHOOL,DOUGLAS,280001079,COLUMBIAN ELEM SCHOOL,ELEMENTARY                    ,PK-06,347,105,0.3026,,
2014-2015,DOUGLAS-CONESTOGA MAGNET ELEM SCHOOL,DOUGLAS,280001081,CONESTOGA MAGNET ELEM SCHOOL,ELEMENTARY                    ,PK-06,396,358,0.904,,
2014-2015,DOUGLAS-CRESTRIDGE MAGNET CENTER,DOUGLAS,280001085,CRESTRIDGE MAGNET CENTER,ELEMENTARY                    ,PK-06,453,265,0.585,,
2014-2015,DOUGLAS-DODGE ELEM SCHOOL,DOUGLAS,280001089,DODGE ELEM SCHOOL,ELEMENTARY                    ,PK-06,382,235,0.6152,,
2014-2015,DOUGLAS-DRUID HILL ELEMENTARY SCHOOL,DOUGLAS,280001091,DRUID HILL ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,369,349,0.9458,,
2014-2015,DOUGLAS-DUNDEE ELEM SCHOOL,DOUGLAS,280001093,DUNDEE ELEM SCHOOL,ELEMENTARY                    ,PK-06,560,244,0.4357,,
2014-2015,DOUGLAS-EDISON ELEM SCHOOL,DOUGLAS,280001095,EDISON ELEM SCHOOL,ELEMENTARY                    ,PK-06,440,316,0.7182,,
2014-2015,DOUGLAS-FIELD CLUB ELEM SCHOOL,DOUGLAS,280001097,FIELD CLUB ELEM SCHOOL,ELEMENTARY                    ,PK-05,672,567,0.8438,,
2014-2015,DOUGLAS-FLORENCE ELEM SCHOOL,DOUGLAS,280001099,FLORENCE ELEM SCHOOL,ELEMENTARY                    ,PK-06,317,232,0.7319,,
2014-2015,DOUGLAS-FONTENELLE ELEM SCHOOL,DOUGLAS,280001101,FONTENELLE ELEM SCHOOL,ELEMENTARY                    ,PK-06,657,607,0.9239,,
2014-2015,DOUGLAS-FRANKLIN ELEM SCHOOL,DOUGLAS,280001103,FRANKLIN ELEM SCHOOL,ELEMENTARY                    ,PK-06,318,304,0.956,,
2014-2015,DOUGLAS-FULLERTON MAGNET CENTER,DOUGLAS,280001104,FULLERTON MAGNET CENTER,ELEMENTARY                    ,PK-04,570,228,0.4,,
2014-2015,DOUGLAS-GILDER ELEM SCHOOL,DOUGLAS,280001105,GILDER ELEM SCHOOL,ELEMENTARY                    ,PK-06,433,356,0.8222,,
2014-2015,DOUGLAS-GOMEZ HERITAGE ELEMENTARY SCH,DOUGLAS,280001107,GOMEZ HERITAGE ELEMENTARY SCH,ELEMENTARY                    ,PK-04,865,779,0.9006,,
2014-2015,DOUGLAS-HARRISON ELEM SCHOOL,DOUGLAS,280001109,HARRISON ELEM SCHOOL,ELEMENTARY                    ,PK-06,376,208,0.5532,,
2014-2015,DOUGLAS-HARTMAN ELEM SCHOOL,DOUGLAS,280001111,HARTMAN ELEM SCHOOL,ELEMENTARY                    ,PK-06,494,433,0.8765,,
2014-2015,DOUGLAS-HIGHLAND ELEM SCHOOL,DOUGLAS,280001113,HIGHLAND ELEM SCHOOL,ELEMENTARY                    ,PK-06,453,414,0.9139,,
2014-2015,DOUGLAS-INDIAN HILL ELEM SCHOOL,DOUGLAS,280001115,INDIAN HILL ELEM SCHOOL,ELEMENTARY                    ,PK-06,633,585,0.9242,,
2014-2015,DOUGLAS-JEFFERSON ELEM SCHOOL,DOUGLAS,280001121,JEFFERSON ELEM SCHOOL,ELEMENTARY                    ,PK-06,543,435,0.8011,,
2014-2015,DOUGLAS-JOSLYN ELEM SCHOOL,DOUGLAS,280001123,JOSLYN ELEM SCHOOL,ELEMENTARY                    ,PK-06,438,206,0.4703,,
2014-2015,DOUGLAS-KELLOM ELEMENTARY SCHOOL,DOUGLAS,280001125,KELLOM ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,429,368,0.8578,,
2014-2015,DOUGLAS-KENNEDY ELEM SCHOOL,DOUGLAS,280001127,KENNEDY ELEM SCHOOL,ELEMENTARY                    ,PK-06,308,299,0.9708,,
2014-2015,DOUGLAS-LOTHROP MAGNET CENTER,DOUGLAS,280001133,LOTHROP MAGNET CENTER,ELEMENTARY                    ,PK-04,317,288,0.9085,,
2014-2015,DOUGLAS-R M MARRS MAGNET ELEM SCHOOL,DOUGLAS,280001135,R M MARRS MAGNET ELEM SCHOOL,ELEMENTARY                    ,2016-05-06,563,490,0.8703,,
2014-2015,DOUGLAS-MASTERS ELEM SCHOOL,DOUGLAS,280001139,MASTERS ELEM SCHOOL,ELEMENTARY                    ,PK-06,341,240,0.7038,,
2014-2015,DOUGLAS-MORTON MAGNET ELEMENTARY SCH,DOUGLAS,280001140,MORTON MAGNET ELEMENTARY SCH,ELEMENTARY                    ,2016-05-06,89,63,0.7079,,
2014-2015,DOUGLAS-MILLER PARK ELEM SCHOOL,DOUGLAS,280001141,MILLER PARK ELEM SCHOOL,ELEMENTARY                    ,PK-06,431,402,0.9327,,
2014-2015,DOUGLAS-MINNE LUSA ELEM SCHOOL,DOUGLAS,280001143,MINNE LUSA ELEM SCHOOL,ELEMENTARY                    ,PK-06,407,353,0.8673,,
2014-2015,DOUGLAS-MOUNT VIEW ELEM SCHOOL,DOUGLAS,280001147,MOUNT VIEW ELEM SCHOOL,ELEMENTARY                    ,PK-06,414,375,0.9058,,
2014-2015,DOUGLAS-PICOTTE ELEMENTARY SCHOOL,DOUGLAS,280001148,PICOTTE ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-04,407,91,0.2236,,
2014-2015,DOUGLAS-OAK VALLEY ELEM SCHOOL,DOUGLAS,280001149,OAK VALLEY ELEM SCHOOL,ELEMENTARY                    ,PK-06,285,212,0.7439,,
2014-2015,DOUGLAS-PAWNEE ELEM SCHOOL,DOUGLAS,280001153,PAWNEE ELEM SCHOOL,ELEMENTARY                    ,PK-06,440,287,0.6523,,
2014-2015,DOUGLAS-PINEWOOD ELEM SCHOOL,DOUGLAS,280001155,PINEWOOD ELEM SCHOOL,ELEMENTARY                    ,PK-06,247,177,0.7166,,
2014-2015,DOUGLAS-PONCA ELEM SCHOOL,DOUGLAS,280001159,PONCA ELEM SCHOOL,ELEMENTARY                    ,PK-06,144,70,0.4861,,
2014-2015,DOUGLAS-ROSE HILL ELEM SCHOOL,DOUGLAS,280001165,ROSE HILL ELEM SCHOOL,ELEMENTARY                    ,PK-06,314,241,0.7675,,
2014-2015,DOUGLAS-SADDLEBROOK ELEMENTARY SCHOOL,DOUGLAS,280001168,SADDLEBROOK ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-05,486,50,0.1029,,
2014-2015,DOUGLAS-SARATOGA ELEM SCHOOL,DOUGLAS,280001169,SARATOGA ELEM SCHOOL,ELEMENTARY                    ,PK-06,229,208,0.9083,,
2014-2015,DOUGLAS-SHERMAN ELEM SCHOOL,DOUGLAS,280001173,SHERMAN ELEM SCHOOL,ELEMENTARY                    ,PK-06,223,210,0.9417,,
2014-2015,DOUGLAS-LIBERTY ELEMENTARY SCHOOL,DOUGLAS,280001174,LIBERTY ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,731,665,0.9097,,
2014-2015,DOUGLAS-SPRING LAKE MAGNET CENTER,DOUGLAS,280001175,SPRING LAKE MAGNET CENTER,ELEMENTARY                    ,PK-04,821,713,0.8685,,
2014-2015,DOUGLAS-SPRINGVILLE ELEM SCHOOL,DOUGLAS,280001177,SPRINGVILLE ELEM SCHOOL,ELEMENTARY                    ,PK-06,434,186,0.4286,,
2014-2015,DOUGLAS-STANDING BEAR ELEMENTARY SCH,DOUGLAS,280001178,STANDING BEAR ELEMENTARY SCH,ELEMENTARY                    ,PK-04,562,127,0.226,,
2014-2015,DOUGLAS-SUNNY SLOPE ELEM SCHOOL,DOUGLAS,280001179,SUNNY SLOPE ELEM SCHOOL,ELEMENTARY                    ,PK-06,492,297,0.6037,,
2014-2015,DOUGLAS-WAKONDA ELEM SCHOOL,DOUGLAS,280001185,WAKONDA ELEM SCHOOL,ELEMENTARY                    ,PK-06,405,360,0.8889,,
2014-2015,DOUGLAS-WALNUT HILL ELEM SCHOOL,DOUGLAS,280001187,WALNUT HILL ELEM SCHOOL,ELEMENTARY                    ,PK-06,464,445,0.9591,,
2014-2015,DOUGLAS-WASHINGTON ELEM SCHOOL,DOUGLAS,280001189,WASHINGTON ELEM SCHOOL,ELEMENTARY                    ,PK-06,325,178,0.5477,,
2014-2015,DOUGLAS-WESTERN HILLS MAGNET CENTER,DOUGLAS,280001191,WESTERN HILLS MAGNET CENTER,ELEMENTARY                    ,PK-06,389,312,0.8021,,
2014-2015,DOUGLAS-JACKSON ELEMENTARY SCHOOL,DOUGLAS,280001201,JACKSON ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,239,233,0.9749,,
2014-2015,DOUGLAS-BANCROFT ELEMENTARY,DOUGLAS,280001204,BANCROFT ELEMENTARY,ELEMENTARY                    ,PK-06,747,674,0.9023,,
2014-2015,DOUGLAS-KING ELEMENTARY SCHOOL,DOUGLAS,280001205,KING ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,363,330,0.9091,,
2014-2015,DOUGLAS-KING SCIENCE/TECH MAGNET ELEM,DOUGLAS,280001206,KING SCIENCE/TECH MAGNET ELEM,ELEMENTARY                    ,2016-05-06,211,160,0.7583,,
2014-2015,DOUGLAS-KING SCIENCE/TECH MAGNET M S,DOUGLAS,280001207,KING SCIENCE/TECH MAGNET M S,MIDDLE SCHOOL                 ,2016-07-08,328,236,0.7195,,
2014-2015,DOUGLAS-PRAIRIE WIND ELEM SCHOOL,DOUGLAS,280001209,PRAIRIE WIND ELEM SCHOOL,ELEMENTARY                    ,PK-05,712,418,0.5871,,
2014-2015,DOUGLAS-ASHLAND PARK/ROBBINS ELEM SCH,DOUGLAS,280001210,ASHLAND PARK/ROBBINS ELEM SCH,ELEMENTARY                    ,PK-06,816,677,0.8297,,
2014-2015,DOUGLAS-SKINNER MAGNET CENTER,DOUGLAS,280001214,SKINNER MAGNET CENTER,ELEMENTARY                    ,PK-06,429,381,0.8881,,
2014-2015,DOUGLAS-ALFONZA W DAVIS MIDDLE SCHOOL,DOUGLAS,280001225,ALFONZA W DAVIS MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2016-06-08,620,284,0.4581,,
2014-2015,DOUGLAS-GATEWAY ELEMENTARY,DOUGLAS,280001226,GATEWAY ELEMENTARY,ELEMENTARY                    ,PK-06,851,702,0.8249,,
2014-2015,DOUGLAS-EARLY CHILDHOOD CENTER AT EDUCARE - KELLOM,DOUGLAS,280001301,EARLY CHILDHOOD CENTER AT EDUCARE - KELLOM,PREK ONLY                     ,PK-PK,148,,,MASKED DATA,
2014-2015,DOUGLAS-EARLY CHILDHOOD CENTER AT YATES,DOUGLAS,280001308,EARLY CHILDHOOD CENTER AT YATES,PREK ONLY                     ,PK-PK,63,47,0.746,,
2014-2015,DOUGLAS-EARLY CHILDHOOD CENTER AT EDUCARE - INDIAN HILL,DOUGLAS,280001309,EARLY CHILDHOOD CENTER AT EDUCARE - INDIAN HILL,PREK ONLY                     ,PK-PK,182,,,MASKED DATA,
2014-2015,DOUGLAS-ELKHORN HIGH SCHOOL,DOUGLAS,280010001,ELKHORN HIGH SCHOOL,HIGH SCHOOL                   ,2016-09-12,852,95,0.1115,,
2014-2015,DOUGLAS-WESTRIDGE ELEMENTARY SCHOOL,DOUGLAS,280010002,WESTRIDGE ELEMENTARY SCHOOL,ELEMENTARY                    ,K -05,440,79,0.1795,,
2014-2015,DOUGLAS-SKYLINE ELEMENTARY SCHOOL,DOUGLAS,280010003,SKYLINE ELEMENTARY SCHOOL,ELEMENTARY                    ,K -05,313,19,0.0607,,
2014-2015,DOUGLAS-HILLRISE ELEMENTARY SCHOOL,DOUGLAS,280010004,HILLRISE ELEMENTARY SCHOOL,ELEMENTARY                    ,K -05,339,51,0.1504,,
2014-2015,DOUGLAS-ELKHORN MIDDLE SCHOOL,DOUGLAS,280010005,ELKHORN MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2016-06-08,367,67,0.1826,,
2014-2015,DOUGLAS-SPRING RIDGE ELEMENTARY,DOUGLAS,280010006,SPRING RIDGE ELEMENTARY,ELEMENTARY                    ,K -05,594,,,MASKED DATA,
2014-2015,DOUGLAS-ELKHORN RIDGE MIDDLE SCHOOL,DOUGLAS,280010007,ELKHORN RIDGE MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2016-06-08,412,,,MASKED DATA,
2014-2015,DOUGLAS-FIRE RIDGE ELEMENTARY SCHOOL,DOUGLAS,280010008,FIRE RIDGE ELEMENTARY SCHOOL,ELEMENTARY                    ,K -05,548,,,MASKED DATA,
2014-2015,DOUGLAS-MANCHESTER ELEMENTARY SCHOOL,DOUGLAS,280010009,MANCHESTER ELEMENTARY SCHOOL,ELEMENTARY                    ,K -05,420,19,0.0452,,
2014-2015,DOUGLAS-ELKHORN EARLY EDUCATION CENTER,DOUGLAS,280010010,ELKHORN EARLY EDUCATION CENTER,PREK ONLY                     ,PK-PK,98,,,MASKED DATA,
2014-2015,DOUGLAS-ELKHORN SOUTH HIGH SCHOOL,DOUGLAS,280010011,ELKHORN SOUTH HIGH SCHOOL,HIGH SCHOOL                   ,2016-09-12,1077,25,0.0232,,
2014-2015,DOUGLAS-WEST DODGE STATION ELEMENTARY,DOUGLAS,280010012,WEST DODGE STATION ELEMENTARY,ELEMENTARY                    ,K -05,401,31,0.0773,,
2014-2015,DOUGLAS-WEST DODGE STATION EARLY ED CENTER,DOUGLAS,280010013,WEST DODGE STATION EARLY ED CENTER,PREK ONLY                     ,PK-PK,65,,,MASKED DATA,
2014-2015,DOUGLAS-VALLEY VIEW MIDDLE SCHOOL,DOUGLAS,280010014,VALLEY VIEW MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2016-06-08,494,16,0.0324,,
2014-2015,DOUGLAS-WEST BAY ELEMENTARY SCHOOL,DOUGLAS,280010015,WEST BAY ELEMENTARY SCHOOL,ELEMENTARY                    ,K -05,338,,,MASKED DATA,
2014-2015,DOUGLAS-SAGEWOOD ELEMENTARY SCHOOL,DOUGLAS,280010016,SAGEWOOD ELEMENTARY SCHOOL,ELEMENTARY                    ,K -05,313,43,0.1374,,
2014-2015,DOUGLAS-ELKHORN GRANDVIEW MIDDLE SCHOOL,DOUGLAS,280010017,ELKHORN GRANDVIEW MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2016-06-08,427,49,0.1148,,
2014-2015,DOUGLAS-WEST BAY EARLY ED CENTER,DOUGLAS,280010301,WEST BAY EARLY ED CENTER,PREK ONLY                     ,PK-PK,55,,,MASKED DATA,
2014-2015,DOUGLAS-DOUGLAS CO WEST HIGH SCHOOL,DOUGLAS,280015001,DOUGLAS CO WEST HIGH SCHOOL,HIGH SCHOOL                   ,2016-09-12,267,60,0.2247,,
2014-2015,DOUGLAS-DOUGLAS CO WEST MIDDLE SCHOOL,DOUGLAS,280015002,DOUGLAS CO WEST MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2016-05-08,233,80,0.3433,,
2014-2015,DOUGLAS-DOUGLAS CO WEST ELEMENTARY SCH,DOUGLAS,280015003,DOUGLAS CO WEST ELEMENTARY SCH,ELEMENTARY                    ,PK-04,336,131,0.3899,,
2014-2015,DOUGLAS-MILLARD SOUTH HIGH SCHOOL,DOUGLAS,280017001,MILLARD SOUTH HIGH SCHOOL,HIGH SCHOOL                   ,2016-09-12,2147,571,0.266,,
2014-2015,DOUGLAS-MILLARD CENTRAL MIDDLE SCHOOL,DOUGLAS,280017002,MILLARD CENTRAL MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2016-06-08,801,306,0.382,,
2014-2015,DOUGLAS-BRYAN ELEMENTARY SCHOOL,DOUGLAS,280017003,BRYAN ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-05,423,174,0.4113,,
2014-2015,DOUGLAS-MILLARD NORTH HIGH SCHOOL,DOUGLAS,280017004,MILLARD NORTH HIGH SCHOOL,HIGH SCHOOL                   ,2016-09-12,2521,345,0.1369,,
2014-2015,DOUGLAS-MILLARD NORTH MIDDLE SCHOOL,DOUGLAS,280017006,MILLARD NORTH MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2016-06-08,775,152,0.1961,,
2014-2015,DOUGLAS-GRACE ABBOTT ELEM SCHOOL,DOUGLAS,280017007,GRACE ABBOTT ELEM SCHOOL,ELEMENTARY                    ,K -05,417,43,0.1031,,
2014-2015,DOUGLAS-CODY ELEMENTARY SCHOOL,DOUGLAS,280017008,CODY ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-05,348,159,0.4569,,
2014-2015,DOUGLAS-NORRIS ELEMENTARY SCHOOL,DOUGLAS,280017009,NORRIS ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-05,428,151,0.3528,,
2014-2015,DOUGLAS-SANDOZ ELEMENTARY SCHOOL,DOUGLAS,280017010,SANDOZ ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-05,381,178,0.4672,,
2014-2015,DOUGLAS-WILLA CATHER ELEMENTARY SCHOOL,DOUGLAS,280017011,WILLA CATHER ELEMENTARY SCHOOL,ELEMENTARY                    ,K -05,413,44,0.1065,,
2014-2015,DOUGLAS-HITCHCOCK ELEMENTARY SCHOOL,DOUGLAS,280017012,HITCHCOCK ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-05,296,59,0.1993,,
2014-2015,DOUGLAS-MONTCLAIR ELEMENTARY SCHOOL,DOUGLAS,280017013,MONTCLAIR ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-05,643,113,0.1757,,
2014-2015,DOUGLAS-HOLLING HEIGHTS ELEM SCHOOL,DOUGLAS,280017014,HOLLING HEIGHTS ELEM SCHOOL,ELEMENTARY                    ,PK-05,418,216,0.5167,,
2014-2015,DOUGLAS-J STERLING MORTON ELEM SCHOOL,DOUGLAS,280017015,J STERLING MORTON ELEM SCHOOL,ELEMENTARY                    ,K -05,296,50,0.1689,,
2014-2015,DOUGLAS-WALT DISNEY ELEMENTARY SCHOOL,DOUGLAS,280017016,WALT DISNEY ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-05,309,114,0.3689,,
2014-2015,DOUGLAS-NEIHARDT ELEMENTARY SCHOOL,DOUGLAS,280017017,NEIHARDT ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-05,631,164,0.2599,,
2014-2015,DOUGLAS-COTTONWOOD ELEMENTARY SCHOOL,DOUGLAS,280017018,COTTONWOOD ELEMENTARY SCHOOL,ELEMENTARY                    ,K -05,309,50,0.1618,,
2014-2015,DOUGLAS-HARVEY OAKS ELEMENTARY SCHOOL,DOUGLAS,280017019,HARVEY OAKS ELEMENTARY SCHOOL,ELEMENTARY                    ,K -05,263,37,0.1407,,
2014-2015,DOUGLAS-NORMAN ROCKWELL ELEM SCHOOL,DOUGLAS,280017020,NORMAN ROCKWELL ELEM SCHOOL,ELEMENTARY                    ,PK-05,325,131,0.4031,,
2014-2015,DOUGLAS-ACKERMAN ELEMENTARY SCHOOL,DOUGLAS,280017024,ACKERMAN ELEMENTARY SCHOOL,ELEMENTARY                    ,K -05,443,70,0.158,,
2014-2015,DOUGLAS-HARRY ANDERSEN MIDDLE SCHOOL,DOUGLAS,280017025,HARRY ANDERSEN MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2016-06-08,908,253,0.2786,,
2014-2015,DOUGLAS-KIEWIT MIDDLE SCHOOL,DOUGLAS,280017026,KIEWIT MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2016-06-08,938,126,0.1343,,
2014-2015,DOUGLAS-EZRA MILLARD ELEMENTARY SCH,DOUGLAS,280017027,EZRA MILLARD ELEMENTARY SCH,ELEMENTARY                    ,K -05,418,73,0.1746,,
2014-2015,DOUGLAS-WILLOWDALE ELEMENTARY SCHOOL,DOUGLAS,280017028,WILLOWDALE ELEMENTARY SCHOOL,ELEMENTARY                    ,K -05,413,54,0.1308,,
2014-2015,DOUGLAS-RUSSELL MIDDLE SCHOOL,DOUGLAS,280017029,RUSSELL MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2016-06-08,877,56,0.0639,,
2014-2015,DOUGLAS-MILLARD WEST HIGH SCHOOL,DOUGLAS,280017030,MILLARD WEST HIGH SCHOOL,HIGH SCHOOL                   ,2016-09-12,2448,166,0.0678,,
2014-2015,DOUGLAS-ALDRICH ELEMENTARY,DOUGLAS,280017031,ALDRICH ELEMENTARY,ELEMENTARY                    ,K -05,489,26,0.0532,,
2014-2015,DOUGLAS-BLACK ELK ELEMENTARY SCHOOL,DOUGLAS,280017032,BLACK ELK ELEMENTARY SCHOOL,ELEMENTARY                    ,K -05,460,70,0.1522,,
2014-2015,DOUGLAS-ROHWER ELEMENTARY SCHOOL,DOUGLAS,280017033,ROHWER ELEMENTARY SCHOOL,ELEMENTARY                    ,K -05,613,30,0.0489,,
2014-2015,DOUGLAS-WHEELER ELEMENTARY SCHOOL,DOUGLAS,280017034,WHEELER ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-05,596,43,0.0721,,
2014-2015,DOUGLAS-BEADLE MIDDLE SCHOOL,DOUGLAS,280017035,BEADLE MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2016-06-08,1141,93,0.0815,,
2014-2015,DOUGLAS-REEDER ELEMENTARY SCHOOL,DOUGLAS,280017038,REEDER ELEMENTARY SCHOOL,ELEMENTARY                    ,K -05,629,40,0.0636,,
2014-2015,DOUGLAS-REAGAN ELEMENTARY,DOUGLAS,280017039,REAGAN ELEMENTARY,ELEMENTARY                    ,K -05,544,33,0.0607,,
2014-2015,DOUGLAS-UPCHURCH ELEMENTARY,DOUGLAS,280017040,UPCHURCH ELEMENTARY,ELEMENTARY                    ,K -05,641,73,0.1139,,
2014-2015,DOUGLAS-RALSTON HIGH SCHOOL,DOUGLAS,280054001,RALSTON HIGH SCHOOL,HIGH SCHOOL                   ,2016-09-12,969,434,0.4479,,
2014-2015,DOUGLAS-KAREN WESTERN ELEMENTARY SCH,DOUGLAS,280054002,KAREN WESTERN ELEMENTARY SCH,ELEMENTARY                    ,PK-06,148,115,0.777,,
2014-2015,DOUGLAS-RALSTON MIDDLE SCHOOL,DOUGLAS,280054003,RALSTON MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2016-07-08,494,286,0.5789,,
2014-2015,DOUGLAS-MOCKINGBIRD ELEMENTARY SCHOOL,DOUGLAS,280054004,MOCKINGBIRD ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,388,285,0.7345,,
